   state_name   |             name             |  type   
 ILLINOIS             | DuPage County                |     781666
 ILLINOIS             | Lake County                  |     516418
 ILLINOIS             | Will County                  |     357313
 ILLINOIS             | Kane County                  |     317471
 INDIANA              | Marion County                |     797159
 INDIANA              | Lake County                  |     475594
 INDIANA              | Allen County                 |     300836
 INDIANA              | St. Joseph County            |     247052
 INDIANA              | Vanderburgh County           |     165058
 IOWA                 | Polk County                  |     327140
 IOWA                 | Linn County                  |     168767
 IOWA                 | Scott County                 |     150979
 IOWA                 | Black Hawk County            |     123798
 IOWA                 | Woodbury County              |      98276
 KANSAS               | Sedgwick County              |     403662
 KANSAS               | Johnson County               |     355054
 KANSAS               | Wyandotte County             |     161993
 KANSAS               | Shawnee County               |     160976
 KANSAS               | Douglas County               |      81798
 KENTUCKY             | Jefferson County             |     664937
 KENTUCKY             | Fayette County               |     225366
 KENTUCKY             | Kenton County                |     142031
 KENTUCKY             | Hardin County                |      89240
 KENTUCKY             | Daviess County               |      87189
 LOUISIANA            | Orleans Parish               |     496938
 LOUISIANA            | Jefferson Parish             |     448306
 LOUISIANA            | East Baton Rouge Parish      |     380105
 LOUISIANA            | Caddo Parish                 |     248253
 LOUISIANA            | Calcasieu Parish             |     168134
 MAINE                | Cumberland County            |     243135
 MAINE                | York County                  |     164587
 MAINE                | Penobscot County             |     146601
 MAINE                | Kennebec County              |     115904
 MAINE                | Androscoggin County          |     105259
 MARYLAND             | Montgomery County            |     757027
 MARYLAND             | Baltimore                    |     736014
 MARYLAND             | Prince George's County       |     729268
 MARYLAND             | Baltimore County             |     692134
 MARYLAND             | Anne Arundel County          |     427239
 MASSACHUSETTS        | Middlesex County             |    1398468
 MASSACHUSETTS        | Worcester County             |     709705
 MASSACHUSETTS        | Essex County                 |     670080
 MASSACHUSETTS        | Suffolk County               |     663906
 MASSACHUSETTS        | Norfolk County               |     616087
 MICHIGAN             | Wayne County                 |    2111687
 MICHIGAN             | Oakland County               |    1083592
 MICHIGAN             | Macomb County                |     717400
 MICHIGAN             | Kent County                  |     500631
 MICHIGAN             | Genesee County               |     430459
 MINNESOTA            | Hennepin County              |    1032431
 MINNESOTA            | Ramsey County                |     485765
 MINNESOTA            | Dakota County                |     275227
 MINNESOTA            | Anoka County                 |     243641
 MINNESOTA            | St. Louis County             |     198213
 MISSISSIPPI          | Hinds County                 |     254441
 MISSISSIPPI          | Harrison County              |     165365
 MISSISSIPPI          | Jackson County               |     115243
 MISSISSIPPI          | Rankin County                |      87161
 MISSISSIPPI          | Lauderdale County            |      75555
 MISSOURI             | St. Louis County             |     993529
 MISSOURI             | Jackson County               |     633232
 MISSOURI             | St. Louis                    |     396685
 MISSOURI             | St. Charles County           |     212907
 MISSOURI             | Greene County                |     207949
 MONTANA              | Yellowstone County           |     113419
 MONTANA              | Missoula County              |      78687
 MONTANA              | Cascade County               |      77691
 MONTANA              | Flathead County              |      59218
 MONTANA              | Gallatin County              |      50463
 NEBRASKA             | Douglas County               |     416444
 NEBRASKA             | Lancaster County             |     213641
 NEBRASKA             | Sarpy County                 |     102583
 NEBRASKA             | Hall County                  |      48925
 NEBRASKA             | Buffalo County               |      37447
 NEVADA               | Clark County                 |     741459
 NEVADA               | Washoe County                |     254667
 NEVADA               | Carson City                  |      40443
 NEVADA               | Elko County                  |      33530
 NEVADA               | Douglas County               |      27637
 NEW HAMPSHIRE        | Hillsborough County          |     336073
 NEW HAMPSHIRE        | Rockingham County            |     245845
 NEW HAMPSHIRE        | Merrimack County             |     120005
 NEW HAMPSHIRE        | Strafford County             |     104233
 NEW HAMPSHIRE        | Grafton County               |      74929
 NEW JERSEY           | Bergen County                |     825380
 NEW JERSEY           | Essex County                 |     778206
 NEW JERSEY           | Middlesex County             |     671780
 NEW JERSEY           | Monmouth County              |     553124
 NEW JERSEY           | Hudson County                |     553099
 NEW MEXICO           | Bernalillo County            |     480577
 NEW MEXICO           | Dona Ana County              |     135510
 NEW MEXICO           | Santa Fe County              |      98928
 NEW MEXICO           | San Juan County              |      91605
 NEW MEXICO           | Sandoval County              |      63319
 NEW YORK             | Kings County                 |    2300664
 NEW YORK             | Queens County                |    1951598
 NEW YORK             | New York County              |    1487536
 NEW YORK             | Suffolk County               |    1321864
 NEW YORK             | Nassau County                |    1287348
 NORTH CAROLINA       | Mecklenburg County           |     511433
 NORTH CAROLINA       | Wake County                  |     423380
 NORTH CAROLINA       | Guilford County              |     347420
 NORTH CAROLINA       | Cumberland County            |     274566
 NORTH CAROLINA       | Forsyth County               |     265878
 NORTH DAKOTA         | Cass County                  |     102874
 NORTH DAKOTA         | Grand Forks County           |      70683
 NORTH DAKOTA         | Burleigh County              |      60131
 NORTH DAKOTA         | Ward County                  |      57921
 NORTH DAKOTA         | Morton County                |      23700
 OHIO                 | Cuyahoga County              |    1412140
 OHIO                 | Franklin County              |     961437
 OHIO                 | Hamilton County              |     866228
 OHIO                 | Montgomery County            |     573809
 OHIO                 | Summit County                |     514990
 OKLAHOMA             | Oklahoma County              |     599611
 OKLAHOMA             | Tulsa County                 |     503341
 OKLAHOMA             | Cleveland County             |     174253
 OKLAHOMA             | Comanche County              |     111486
 OKLAHOMA             | Canadian County              |      74409
 OREGON               | Multnomah County             |     583887
 OREGON               | Washington County            |     311554
 OREGON               | Lane County                  |     282912
 OREGON               | Clackamas County             |     278850
 OREGON               | Marion County                |     228483
 PENNSYLVANIA         | Philadelphia County          |    1585577
 PENNSYLVANIA         | Allegheny County             |    1336449
 PENNSYLVANIA         | Montgomery County            |     678111
 PENNSYLVANIA         | Delaware County              |     547651
 PENNSYLVANIA         | Bucks County                 |     541174
